,,,,,,,
,,,,,,,
,,,,,,,
,COMIDA,TIPO,CARBOHIDRATO,GRASAS,PROTEINAS,CALORIAS,RACION
,Aceite de Oliva Virgen Extra En Spray (Carbonell) (Spray - Unidad),Grasas,0,1,0,9,1
,Cereal Vivo Check 3 Cereales,Carbohidratos,19,"1,7","2,7",102,30
,Yogurt Griego de Fresa (Yolo),Proteina,5,6,11,120,150
,Lentejas (Del costal) (Crudo),Carbohidratos,63,0,24,312,100
,Aceite de Girasol (Alise),Grasas,0,100,0,900,100
,Leche en Polvo Semidescremada Deslectosada (San Simón),Carbohidratos,42,24,25,480,100
,Atún sólido en Aceite Vegetal (Eveba),Proteina,0,"13,49","25,06",223,100
,Salsa para Pasta Napolitana (Krays),Carbohidratos,12,1,2,80,100
,Queso Blanco,Grasas,1,20,18,250,100
,Queso Llanero,Grasas,1,25,22,300,100
,Queso Guayanés,Grasas,2,28,20,310,100
,Queso de Mano,Grasas,2,24,22,290,100
,Queso Parmesano,Proteina,3,29,38,431,100
,Smirnoff Green Apple (Lata),Bebida,32,0,0,228,1
,Azúcar Morena (Riopaila),Carbohidratos,100,0,0,400,100
,Café Amanecer,Carbohidratos,4,1,1,30,7
,Manzana,,"13,8","0,3","0,3",52,100
,Banana (cambur),,"22,8","0,3","1,1",89,100
,Naranja,,"9,4","0,2",1,47,100
,Uvas,,"17,1","0,2","0,6",69,100
,Fresa,,"7,7","0,3","0,8",32,100
,Piña,,"13,1","0,1","0,5",50,100
,Mango,,"14,09","0,4","0,8",60,100
,Sandía,,"8,1","0,2","0,6",30,100
,Maíz y Guisantes Dueto (Predilecta),Carbohidratos,15,"1,3","5,4",93,100
,Leche en polvo Montaña Fresca (San Simón),Carbohidratos,53,21,26,570,100
,Boli Krunch,Dulce/Golosina/Chucheria,60,31,6,540,100
,Barra de Granola con Chocolate (wepa),Dulce/Golosina/Chucheria,16,"1,3","1,2",78,22
,Yogurt Natural (Yomi),Proteína,0,3,19,70,100
,Galletas de Chocolate Chip (Harinana) (Unidad),Carbohidratos,6,3,"0,5",52,1
,Casabe (Krays) (Unidad),Carbohidratos,40,0,1,160,1
,Organic Virgin Coconut Oil (Now),Grasas,0,14,0,120,15
,Sardinas en Aceite Vegetal (Margarita),Proteína,0,6,12,110,60
,Tortillas de Espinacas 100% integrales (Crustissimo) (Unidad),Carbohidratos,15,0,3,70,1
,Quinoa (Emana),Carbohidratos,"21,15","2,5",6,160,43
,Camarones (crudo),Proteína,"7,2","0,5",20,114,100
,Tortillas Clásicas (Crustissimo) (Unidad),carbohidratos,14,1,"2,25",75,1
,Pasta tipo Tornillo con Vegetales (Capri),carbohidratos,77,0,11,350,100
,Topocho,carbohidratos,32,"0,37","1,3",122,100
,Jamón de pierna,,3,3,14,120,100
,Pasta Rigatón (Ronco),carbohidratos,73,0,13,350,100
,Malta,carbohidratos,10,0,0,40,100
,Pingüinito (Unidad),,12,"2,4","0,8",71,1
,Mantequilla (Campestre),Grasas,0,12,0,108,15
,Galleta Charmy Chocolate (1 paq. 2 unidades),,24,5,2,150,1
,Yogur Griego Descremado Sabor a Fresa (YOLO),,9,"1,5",10,90,1
,Granola con Pasas y Coco (Wepa),,24,2,3,108,30
,Lechoza,carbohidratos,"9,81","0,14","0,61",39,100
,Harina con Semillas Nutritivas (P.A.N),carbohidratos,38,3,9,370,100
,Té Verde (Lipton) (Unidad 500ml),,20,0,1,80,1
,Pasta Integral (Sanare),carbohidratos ,"72,67","1,12","11,86",328,500
,Pan de Hamburguesa 100% Integral (Crustissimo) (Unidad),carbohidratos ,35,"1,7","6,9",180,1
,Harina de Trigo Integral 100% Natural,carbohidratos ,70,7,9,354,100
,Pasta de Arroz (Libre de Gluten),carbohidratos ,46,1,3,205,56
,Avena Aros (Canela),carbohidratos ,24,0,3,110,30
,Nucita Crunch,carbohidratos ,26,4,2,150,120
,Pasta Linguini (Ronco),carbohidratos ,73,0,13,350,100
,Arepas de Yuca (vitalfit) (unidad),,"33,5","0,2",1,138,1
,Pasta Codos (Ronco),carbohidratos ,73,1,13,350,100
,Pasta Daditos (Capri),carbohidratos ,76,0,12,350,100
,Harina de Coco Orgánica (Kaldini),carbohidratos ,"13,5","2,7",5,98,25
,Mini Brownies (PUIG),carbohidratos ,18,3,2,110,25
,Cubito (Maggi) (Unidad),carbohidratos ,1,0,0,6,1
,Sopa de Pollo Casera (Maggi) (Unidad),carbohidratos ,7,1,2,45,1
,Dátiles,carbohidratos ,75,"0,15","1,8",277,100
,Chorizo promedio,,"2,2",23,26,345,100
,Miel de Abeja Promedio,,"82,4",0,"0,3",304,100
,Cacao en Polvo Promedio,,"57,9","13,7","19,6",228,100
,Atún Sólido Natural (Secretos de la abuela) (Unidad Lata 56gr),Proteína,2,0,12,62,1
,Salchica de Pavo (Plumrose) (Unidad),,1,0,4,20,1
